Approximately 1 in 8 people with HIV are aware they are infected. ,"'Charlie Sheen Effect' Seen in Online Search for HIV Symptoms and Testing, Study Says",ABC Health,2016-02-22 16:19:08 -0600
"The actor's disclosure could have a significant impact on public health, researchers say","The ""Charlie Sheen effect"" on HIV prevention",CBS Health,2016-02-22 15:37:17 -0600
"Fewer infections now will mean less cancer in the future, health experts say, urging more girls and boys get vaccinated","HPV vaccine is having a big impact, study shows",CBS Health,2016-02-22 13:29:40 -0600
Tens of thousands of people die each year as a result of infections they caught in the hospital,How to protect yourself from hospital-acquired infections,CBS Health,2016-02-22 19:08:45 -0600
"Infections picked up at the hospital kill tens of thousands of Americans each year, but some basic steps can help reduce the risk",How to cut hospital infections and save lives,CBS Health,2016-02-22 20:23:32 -0600
"Obese people who lose five percent of body weight may not look better on the outside, but it makes a difference on the inside",A little weight loss equals big health benefits,CBS Health,2016-02-22 16:27:02 -0600
"Three decades since a government report called health disparities an affront to American ideals, care for many still lags",Racial disparities persist in some types of cancer,CBS Health,2016-02-22 20:46:35 -0600
"Brazilian scientists in Rio de Janeiro have obtained the genome sequence of the Zika virus and found the disease is indeed related to the incidence of microcephaly, which causes babies to be born with small heads and impaired cognition, that country's official news agency said Saturday.",Brazilian scientists decipher Zika virus genome,CNN Health,2016-02-22 07:22:22 -0600
"As director of the Centers for Disease Control, Dr. Tom Frieden has tweeted and talked about everything from AIDS to obesity to mosquitoes in Hawaii, the overuse of antibiotics, polio in Pakistan, Ebola, sanitation services in East Africa, ambulances in Sierra Leone, premature babies, sexually transmitted diseases, flu shots and World Toilet Day.",What happened to the CDC's courage on guns?,CNN Health,2016-02-22 07:21:36 -0600
"A would-be investor in Palm Beach, Florida, remains unsure of the truth surrounding Malachi Love-Robinson after the 18-year-old was arrested for practicing medicine without a license.",Investor: Florida teen 'told me he was a natural doctor',CNN Health,2016-02-22 07:44:01 -0600
"For the last decade of my father's life, his hands shook uncontrollably. Normal activities like eating and reading the newspaper were challenging. I don't know whether his tremors were caused by Parkinson's disease. He didn't have any of the other typical symptoms, like difficulty initiating movements or shuffling while walking. His doctors thought he had so-called intentional tremors, which are often less problematic than Parkinsonian tremors.",Parkinson's patient fights disease with magic and music,CNN Health,2016-02-22 07:49:17 -0600
Make that black coffee order a double.,Drinking more coffee may help prevent alcohol-related cirrhosis,CNN Health,2016-02-22 07:47:25 -0600
"To say my body doesn't do well in the cold is an understatement. When the temperature drops, my fingers freeze, and often turn deep red, followed by white. On especially exciting days, they'll look a little blue. ""Cold hands, warm heart,"" my mom used to tell me.",Why are my hands always cold?,CNN Health,2016-02-22 07:47:18 -0600
"Flu activity is increasing in the United States, according to new data from the Centers for Disease Control and Prevention, with widespread activity reported in 12 states -- Arizona, California, Connecticut, Iowa, Kentucky, Maryland, Massachusetts, New Mexico, New York, Pennsylvania, Texas and Vermont -- and Puerto Rico.",What to do if you have the flu,CNN Health,2016-02-22 07:44:14 -0600
"A new Smith&#39;s division president will be announced at a later date, Kroger stated.",Kroger's Smith's division president retires,Drugstore News,2016-02-22 15:22:29 -0600
