New York City is first city to require sodium warnings on some restaurant menus.,"NYC Can Require Restaurant Chains to Display Sodium Warning Icons, Judge Rules",ABC Health,2016-02-25 05:47:25 -0600
Mike Snyder jumped at the chance to be a liver donor for a coworker.,Iraq War Veteran Loses 25 Pounds to Be Liver Donor for Ailing Coworker,ABC Health,2016-02-25 14:38:18 -0600
Rebeka Spader is checking off items on her bucket list.,Teen Invites Cancer-Stricken Sister to His First High School Dance,ABC Health,2016-02-25 12:40:35 -0600
Company ordered to pay $72 million in civil case.,"After Win in Talcum Powder Lawsuit, Son Honors His Late Mother",ABC Health,2016-02-25 05:48:02 -0600
"Research finds that long, intense exercise can lead to heart abnormalities",Is too much exercise bad for your heart?,CBS Health,2016-02-25 16:18:30 -0600
Doctors review marijuana-related emergency-room visits from state's first year of recreational pot sales,Study finds change in Colo. ER rates after pot legalization,CBS Health,2016-02-25 14:43:19 -0600
Veterans hospital nurse acknowledged drinking as many as five beers before assisting in an emergency operation,Nurse accused of assisting surgery while drunk,CBS Health,2016-02-25 12:44:44 -0600
Lawyers say the award is the first of its type,Johnson & Johnson fights $72M cancer claim verdict,CBS Health,2016-02-25 11:57:30 -0600
The Kentucky man is recovering from second-degree burns,Video captures e-cigarette exploding in man's pocket,CBS Health,2016-02-25 12:48:30 -0600
She hopes to give birth to a grandchild,Mother fights to carry late daughter's frozen eggs,CBS Health,2016-02-25 12:39:32 -0600
Angel Reynoso woke up in a hospital room on his 30th birthday,A brain cancer survivor uses music help him heal,CBS Health,2016-02-25 10:54:20 -0600
"Warning from Shore Medical Center in N.J. comes after ex-employee was charged with drug tampering, theft and drug possession","Hospital warns patients of possible HIV, hepatitis exposure",CBS Health,2016-02-25 17:02:28 -0600
"The virus, which has been linked to birth defects, has now been confirmed in 32 people in the state",3 pregnant women diagnosed with Zika in Florida,CBS Health,2016-02-25 14:35:24 -0600
The Centers for Disease Control and Prevention says this year's vaccine was 59% effective,The flu vaccine is 59% effective -- is that good enough?,CBS Health,2016-02-25 16:32:32 -0600
"In the wake of big court verdict, a look at what scientific research says about the possible link between talc and ovarian cancer",Can talcum powder really cause cancer?,CBS Health,2016-02-25 17:22:37 -0600
"Health official said in a letter that San Francisco has among the highest rates of chlamydia, gonorrhea and syphilis of any city in the U.S.",San Francisco officials vote to give condoms to middle schoolers,CBS Health,2016-02-25 18:26:17 -0600
Heart problems account for three-quarters of sports-related deaths in young athletes,New study examines hearts of NBA players,CBS Health,2016-02-25 23:10:32 -0600
"Exercising too hard for too long may cause structural changes to the heart, new research suggests",Could too much exercise be toxic?,CBS Health,2016-02-25 20:41:22 -0600
Ambitious plan for a one-million-person health database could help unravel secrets of cancer and other diseases,Precision medicine aims to revolutionize health care,CBS Health,2016-02-25 18:48:41 -0600
"Dr. Francis Collins, Director of the National Institutes of Health, is leading efforts to gather a one-million-person database of health and genetic information which could lead to more targeted, personalized treatments",The promise of precision medicine,CBS Health,2016-02-25 23:44:32 -0600
Heart problems account for three-quarters of sports-related deaths in young athletes; but new study could change that,New study of NBA player's hearts could save lives of athletes,CBS Health,2016-02-25 21:53:38 -0600
Experimental treatment might be an option for thousands of women unable to have children because they were born without a uterus or lost it to disease,​Cleveland Clinic performs first U.S. uterus transplant,CBS Health,2016-02-25 23:46:41 -0600
Researchers in the U.K. have made a &quot;breakthrough reclassification&quot; of pancreatic cancer.,Pancreatic cancer 'breakthrough' hailed,CNBC Health,2016-02-25 07:20:00 -0600
"The Dimock Health Center, founded in 1862, serves 17,000 patients a year in the heart of Boston&#039;s African-American community. ",A 154-year-old legacy: Giving access to health care,CNBC Health,2016-02-25 07:00:00 -0600
"This season's flu vaccine is nearly 60% effective so far, the Centers for Disease Control and Prevention said this week, making it one of the most effective flu vaccines in the last few years.","This season's flu vaccine is nearly 60% effective so far, CDC says",CNN Health,2016-02-25 15:28:05 -0600
"This week, pharmaceutical and consumer product company Johnson & Johnson was ordered to pay a $72 million settlement to the family of a woman who died of ovarian cancer after using the company's talcum body powder for nearly 50 years.",What you need to know about talc safety,CNN Health,2016-02-25 09:00:11 -0600
"High school boys wearing dresses strike a pose with big smiles on their faces. They know they're breaking school rules, but they hope their gender-defying outfits will spark change.",Student protests growing over gender-equal dress codes,CNN Health,2016-02-25 08:59:01 -0600
"Companies that want their employees to exercise more might want to skip the promise of prizes or pats on the back. Instead, a new study shows, giving someone a financial incentive and then threatening to take it away might work better.",An incentive that really makes people exercise more,CNN Health,2016-02-25 07:21:10 -0600
A new campaign aims to educate teens about emotional abuse in relationships and spark a movement to save lives.,Helping teens spot signs of relationship abuse,CNN Health,2016-02-25 07:14:46 -0600
The Centers for Disease Control and Prevention says it is investigating 14 new reports of possible sexual transmission of the Zika virus.,CDC investigates 14 more possible cases of sexually transmitted Zika virus,CNN Health,2016-02-25 09:08:42 -0600
"After the San Bernardino, California, attack, my Facebook news feed was filled with post after post from parents anxious about yet another mass shooting and worried about their own safety and that of their children.",How our anxiety impacts our kids,CNN Health,2016-02-25 09:07:43 -0600
Juliet Starrett and her husband were running the sack race at their children's school field day when they noticed something was wrong -- the kids couldn't get into the sacks.,Forget 'Sit down!' Students now standing up to learn,CNN Health,2016-02-25 09:07:34 -0600
The state of Florida announced Wednesday that three pregnant women who had traveled outside the United States tested positive for Zika virus.,Three pregnant women in Florida test positive for Zika,CNN Health,2016-02-25 09:08:42 -0600
"Astronaut Scott Kelly is preparing to return to Earth on Tuesday after spending an unprecedented year on the International Space Station. While the 51-year-old, who recently celebrated his birthday in space, is looking forward to returning, he'll miss the small, suspended nook that's become his home.",Scott Kelly from space: 'I feel like I've lived my whole life up here',CNN Health,2016-02-25 10:28:50 -0600
"Just like any other high school senior, 18-year-old Thomas Lewis is looking forward to life after graduation.",South Dakota governor considers transgender restroom bill,CNN Health,2016-02-25 12:18:30 -0600
Mississippi officials are warning that pregnant women and kids 5 years old and younger should stay away from tap water in the capital city because of lead concerns.,Mississippi issues warnings about Jackson tap water,CNN Health,2016-02-25 12:18:38 -0600
"It's 7 a.m., your train is late, you're exhausted and stressed, with another long day at work ahead of you.",What your hot drink is doing to your body,CNN Health,2016-02-25 15:27:45 -0600
"The story of how microbiologist Brian Foy obtained Zika in Africa back in 2008 and passed it to his wife Joy when he returned home reads like a detective novel: frozen blood, false leads, a clever clue from Africa, and finally success—laboratory proof that Foy had given a mosquito-borne virus to his wife during sex.",How I gave my wife Zika virus,CNN Health,2016-02-25 14:01:41 -0600
"Josh Hamilton is recovering from severe burns on his right thigh after an electronic cigarette battery apparently exploded in his pocket over the weekend. The Owensboro, Kentucky, resident was paying for snacks at his local Shell gas station when flames shot out from his leg through his clothes.",Man says e-cigarette battery exploded in his pocket,CNN Health,2016-02-25 14:00:18 -0600
"The SAT is undergoing the biggest changes in 10 years, perhaps the most dramatic overhaul ever in its history, but could the new exam put certain students at a disadvantage?","Help! The new SAT is here, amid controversy",CNN Health,2016-02-25 13:11:03 -0600
"Peruvian doctors have removed what was described by health officials as a ""giant"" 16-kilogram (35.3-pound) tumor from the abdomen of a woman in Lima, the capital of Peru.",Doctors remove 35-pound tumor from woman's abdomen,CNN Health,2016-02-25 12:19:21 -0600
"Nine people in Minnesota and Wisconsin have become ill from E. Coli, the Centers for Disease Control and Prevention said on Thursday. Two of the individuals have been hospitalized.",E. coli outbreak linked to alfalfa sprouts,CNN Health,2016-02-25 20:56:25 -0600
There are hotlines and emergency therapists available for someone who is struggling with suicidal thoughts. But picking up a phone and talking to someone is an action many people — especially younger people — are becoming less familiar with in our everyday lives. Would someone in such a heightened emotional state really think to do so?,What it's like to moderate Reddit's Suicide Watch,CNN Health,2016-02-25 18:50:09 -0600
"This season's flu vaccine is nearly 60% effective so far, the Centers for Disease Control and Prevention said this week, making it one of the most effective flu vaccines in the last few years.",This year's flu vaccine is most effective in recent years,CNN Health,2016-02-25 15:53:44 -0600
"The man most famous for treating the king of rock 'n' roll, Dr. George Nichopoulos, died at age 88 in Memphis, Tennessee, according to the Memorial Park Funeral Home and Cemetery.","Elvis Presley's physician, 'Dr. Nick,' dies at 88",CNN Health,2016-02-25 15:31:34 -0600
The Canadian Pharmacists Association in February issued a statement outlining its concern about the health effects of marijuana and cautioned the government &quot;to act first with the health of Canadians in mind.&quot; &nbsp;,SDM: Retail pharmacy would be 'safest place' for dispensing medical marijuana,Drugstore News,2016-02-25 09:35:24 -0600
"Collectively, these acquisitions will increase McKesson&rsquo;s specialty pharmaceutical distribution scale and oncology-focused pharmacy offerings.&nbsp;",McKesson extends reach into oncology space with two acquisitions,Drugstore News,2016-02-25 08:25:12 -0600
The number of people living with Alzheimer&#39;s is expected to rise from more than 5 million today to more than 16 million by 2050.,CVS Health Foundation makes major commitment to Alzheimer's Association,Drugstore News,2016-02-25 08:15:39 -0600
"On its Walgreens Flu Index heat map, both Arizona and Texas are already at the higest level of flu incidence.",Walgreens: Arizona and Texas leading country in flu incidence,Drugstore News,2016-02-25 10:11:37 -0600
Pure Protein Crunch is available in two flavors &ndash; double chocolate and peanut butter.&nbsp;,NBTY pops onto the bite-size market with Pure Protein Crunch,Drugstore News,2016-02-25 09:50:04 -0600
The new dark chocolate Luna bars provide 7 to 8 grams of protein and are a good source of fiber.&nbsp;,Luna initiates package redesign with three new dark chocolate offerings,Drugstore News,2016-02-25 09:44:19 -0600
The Canadian Pharmacists Association in February issued a statement outlining its concern about the health effects of marijuana and cautioned the government &quot;to act first with the health of Canadians in mind.&quot;,SDM: Retail pharmacy would be ‘safest place’ for dispensing medical marijuana,Drugstore News,2016-02-25 09:35:24 -0600
