Additionally the CDC confirmed two cases of sexually-transmitted Zika virus. ,Zika Infection Confirmed or Being Investigated in 19 Pregnant Women in US,ABC Health,2016-02-27 10:32:00 -0600
Some women are born without a uterus due to rare genetic syndrome.,First Uterus Transplant in US Gives Hope to Women With Rare Condition,ABC Health,2016-02-27 05:35:34 -0600
"Lincoln Seay's family said the infant was looking ""death in the face.""",Infant Gets Heart Transplant Moments After Going Into Cardiac Arrest,ABC Health,2016-02-28 05:21:43 -0600
"With Brazil being the epicenter of the Zika virus, some female athletes are saying they may not compete at the Olympics there this summer",Zika virus forces female athletes to consider sitting out Olympics,CBS Health,2016-02-27 23:35:32 -0600
The CDC is investigating over a dozen cases of Zika virus that may have been spread through sex,CDC investigates sexual transmission cases of Zika,CBS Health,2016-02-27 12:13:31 -0600
"Red flags were popping up in Michigan Gov. Rick Snyder’s inbox for months about the polluted drinking water in Flint, long before the lead contamination problems became public",Red flags in emails months before Flint water crisis,CBS Health,2016-02-27 11:38:30 -0600
"The Girl Scouts. Are they community service-oriented young ones, who are contributing to society, making friends, and learning important leadership and life-skills? Or are they pushers and peddlers contributing to the obesity epidemic who must be stopped?",Girl Scouts: Cookie Pushers Causing Obesity?,Forbes Healthcare,2016-02-27 13:35:00 -0600
Growing concern about the link between microcephaly and the Zika virus and an increasing number of cases of sexual transmission of the virus raise questions about the risks Olympic athletes and their pregnant partners will face in Brazil.,"CDC Repeats Advice That Pregnant Women Stay Home From Olympics Due To Zika, But What About Athletes?",Forbes Healthcare,2016-02-27 07:14:00 -0600
"Amid the food fight that was the 10th Republican presidential debate, there was much talk among candidates about the need for paying for quality when it comes to healthcare even as they want to gut the Affordable Care Act.",Five Obamacare Quality Measures Trump And GOP Rivals Don't Know,Forbes Healthcare,2016-02-28 08:38:00 -0600
"Amid the food fight that was the 10th Republican presidential debate, there was much talk among candidates about the need for paying for quality when it comes to healthcare even as they want to gut the Affordable Care Act.",Trump And Other GOP Candidates Want To 'Fix' ObamaCare By Making It Do Something It Already Does,Forbes Healthcare,2016-02-28 08:38:00 -0600
"The Girl Scouts. Are they community service-oriented young ones, who are contributing to society, making friends, and learning important leadership and life-skills? Or are they cookie ""pushers"" and ""peddlers"" contributing to the obesity epidemic who must be stopped?",Girl Scouts: Cookie 'Pushers' Contributing To Obesity?,Forbes Healthcare,2016-02-27 13:35:00 -0600
"The CDC is advising that pregnant women consider not going to the 2016 Summer Olympic Games, and there is growing evidence that the Zika virus can be sexually transmitted, so even women who stay home are at risk if their male partners are infected abroad. This creates a quandary for the 10,500 athletes expected at the Games, quite a few of whom may not even know at the time whether they or their partners are pregnant.",Olympic Athletes Face Tough Decision Over Pregnancy Risks Of Zika,Forbes Healthcare,2016-02-27 07:14:00 -0600
"The moment Christie Maruka, 46, found out she was pregnant, she came up with a plan to eat healthy foods and exercise so she wouldn’t gain too much weight.",Pregnant moms obsessed with diet and exercise can face serious health risks,Fox Health,2016-02-28 06:00:00 -0600
All parents know the difficulties involved with getting their children to have a good night’s sleep.,How to get your baby to sleep,Fox Health,2016-02-28 05:00:00 -0600
"Air travel days are exciting and fun but can also wreak havoc on your health as you lose sleep, eat off your usual schedule, and share space with strangers, often in cramped quarters.",Air travel health hacks: Feel like yourself after flying,Fox Health,2016-02-28 05:00:00 -0600
"If you hadn’t heard of “cloud bread” yet, you were bound to soon.","Is gluten-free, carb-free 'cloud bread' actually good for you?",Fox Health,2016-02-27 06:00:00 -0600
"Jessica Alba is a one busy woman. The Golden Globe-nominated actress is co-founder of the Honest Co., a billion-dollar personal care and home goods business. She recently launched Honest Beauty, a collection of skin care and beauty products. We're more than a little curious about how she juggles...","Jessica Alba's Honest-to-goodness stress relievers: meditation, hot yoga, spin class with friends",LA Times Health,2016-02-27 09:00:00 -0600
"It's that time of year again — the time for sore throats and sniffles, body aches and fevers. It's also the time for throat lozenges, hot tea with lemon, chicken soup and long naps. But what about sweating it out? What's a fitness fanatic to do when the gym emits its siren call? Will some perspiration...",Feeling sick but still want to exercise? Let the 'neck rule' be your guide,LA Times Health,2016-02-27 08:00:00 -0600
"Young children who live openly as transgender and who have supportive families seem no more anxious or depressed than other children, researchers say.","Transgender Kids Can Escape Anguish, Study Finds",NBC Health,2016-02-28 19:10:00 -0600
"Addicts in a new study at the University of Houston will strap on virtual reality headsets and navigate a ""heroin cave"" to help them try and kick their addictions.",Virtual Reality 'Heroin Cave' Could Help Addicts Kick Habit,NBC Health,2016-02-28 13:38:04 -0600
