Topic,Word,Score
0,medical,0.027
0,insurance,0.027
0,care,0.027
0,state,0.015
0,health,0.015
0,companies,0.015
0,calling,0.015
0,lists,0.015
0,affordable,0.015
0,closer,0.015
0,acthas,0.015
0,plans,0.015
0,american,0.015
0,insurer,0.015
0,obama,0.015
1,sun,0.024
1,bodies,0.024
1,overlooking,0.024
1,tips,0.024
1,expert,0.024
1,tooth,0.024
1,preventing,0.024
1,oral,0.024
1,decay,0.024
1,offers,0.024
1,health,0.024
1,visualizing,0.013
1,streams,0.013
1,success,0.013
1,trees,0.013
2,stroll,0.027
2,san,0.027
2,far,0.027
2,will,0.027
2,folks,0.027
2,afield,0.027
2,dimas,0.027
2,oilbased,0.027
2,creams,0.027
2,scalias,0.015
2,handled,0.015
2,two,0.015
2,said,0.015
2,forensic,0.015
2,justice,0.015
3,new,0.018
3,drugs,0.018
3,using,0.018
3,marijuana,0.018
3,use,0.018
3,decades,0.018
3,say,0.010
3,printed,0.010
3,liver,0.010
3,engineers,0.010
3,market,0.010
3,drug,0.010
3,lifelike,0.010
3,money,0.010
3,test,0.010
