Topic,Word,Score
0,new,0.012
0,johnson,0.010
0,reuters,0.008
0,york,0.008
0,wednesday,0.006
0,death,0.005
0,medical,0.005
0,consumers,0.005
0,disease,0.005
0,number,0.005
0,us,0.005
0,72,0.005
0,million,0.005
0,cancer,0.004
0,woman,0.004
1,study,0.010
1,marijuana,0.009
1,using,0.007
1,colorado,0.007
1,new,0.007
1,known,0.006
1,emergency,0.006
1,likely,0.005
1,found,0.005
1,relief,0.005
1,increasing,0.005
1,virus,0.004
1,year,0.004
1,birth,0.004
1,users,0.004
2,reuters,0.007
2,can,0.006
2,patients,0.006
2,health,0.006
2,new,0.005
2,us,0.005
2,problems,0.005
2,zika,0.005
2,time,0.005
2,journal,0.005
2,differences,0.004
2,first,0.004
2,risk,0.004
2,treatment,0.004
2,many,0.004
3,study,0.013
3,new,0.012
3,health,0.009
3,reuters,0.009
3,brain,0.006
3,people,0.006
3,drug,0.006
3,administration,0.006
3,cancer,0.005
3,may,0.005
3,wednesday,0.005
3,us,0.005
3,food,0.004
3,symptoms,0.004
3,senate,0.004
